document_id,url,file,titulo,rango,materia,no_norma,no_gaceta,fecha_publicacion,tipo_norma,candidate,total_matches,unique_terms,direct_es_matches,economic_instruments_matches,tier_1_matches,tier_2_matches,matched_terms,matched_categories,matched_subcategories,matched_tiers
3AA238E53C5C10D2062574DA0070BB09,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=3AA238E53C5C10D2062574DA0070BB09&action=openDocument,data\legislation\html\3AA238E53C5C10D2062574DA0070BB09.html,(Decreto Reglamentando el Corte de Maderas),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,99,242,29/10/1929,Decreto,False,0,0,0,0,0,0,,,,
7793AD12C65B68E3062572FF00785EDD,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=7793AD12C65B68E3062572FF00785EDD&action=openDocument,data\legislation\html\7793AD12C65B68E3062572FF00785EDD.html,(SE DECLARA LIBRE LA EXPLOTACIÓN DE MADERAS EN LOS BOSQUES NACIONALES),Decretos Legislativos,Medio Ambiente y Recursos Naturales,,212,04/10/1932,Decreto,False,0,0,0,0,0,0,,,,
035572D7F8A1D7360625734F0062AB57,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=035572D7F8A1D7360625734F0062AB57&action=openDocument,data\legislation\html\035572D7F8A1D7360625734F0062AB57.html,(SE DECRETA EL ESTABLECIMIENTO DE UN LABORATORIO QUÍMICO PARA EL EXAMEN DE SUSTANCIAS MINERALES),Decretos Legislativos,Medio Ambiente y Recursos Naturales,,119,28/05/1934,Decreto,False,0,0,0,0,0,0,,,,
DD6BB6ABC11BC2460625734F0076AFBA,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=DD6BB6ABC11BC2460625734F0076AFBA&action=openDocument,data\legislation\html\DD6BB6ABC11BC2460625734F0076AFBA.html,(DERÓGANSE LOS IMPUESTOS QUE GRAVEN EL TRANSPORTE DE GANADO DE UN DEPARTAMENTO A OTRO),Decretos Legislativos,Medio Ambiente y Recursos Naturales,,162,21/07/1934,Decreto,False,0,0,0,0,0,0,,,,
ECF7D42B7A616E0D062572D4006E5E95,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=ECF7D42B7A616E0D062572D4006E5E95&action=openDocument,data\legislation\html\ECF7D42B7A616E0D062572D4006E5E95.html,(DECRÉTASE LIBRE EXPORTACIÓN DEL BAMBÚ),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,27,160,28/07/1937,Decreto,False,0,0,0,0,0,0,,,,
BD8C9651063C7B9D062572E400579A84,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=BD8C9651063C7B9D062572E400579A84&action=openDocument,data\legislation\html\BD8C9651063C7B9D062572E400579A84.html,(Se Decreta Nueva Disposiciones en los Cortes de Madera),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,314-A,250,16/11/1937,Decreto,False,0,0,0,0,0,0,,,,
1E2915B9B776F2A7062572D600749F25,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=1E2915B9B776F2A7062572D600749F25&action=openDocument,data\legislation\html\1E2915B9B776F2A7062572D600749F25.html,(Prohíbase el Corte de Raicilla de Ipecacuana),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,77,44,25/02/1938,Decreto,False,0,0,0,0,0,0,,,,
3437BD6AF422C691062572DC00595A74,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=3437BD6AF422C691062572DC00595A74&action=openDocument,data\legislation\html\3437BD6AF422C691062572DC00595A74.html,(REDÚCESE UNA PRIMA),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,117,232,26/10/1938,Decreto,False,0,0,0,0,0,0,,,,
8263D36E7E651A61062572DC005BDB5C,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=8263D36E7E651A61062572DC005BDB5C&action=openDocument,data\legislation\html\8263D36E7E651A61062572DC005BDB5C.html,(REGLAMENTO PARA EL CORTE DE CAFÉ),Decretos Legislativos,Medio Ambiente y Recursos Naturales,123,247,14/11/1938,Decreto,False,0,0,0,0,0,0,,,,
83CB395508FBC764062572DC00607B3C,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=83CB395508FBC764062572DC00607B3C&action=openDocument,data\legislation\html\83CB395508FBC764062572DC00607B3C.html,(RESTABLECESE UN ARTÍCULO DEL DECRETO EJECUTIVO DE 30 DE JUNIO DE 1917),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,101,269,13/12/1938,Decreto,False,0,0,0,0,0,0,,,,
